"Nick.name";"variable"
"LordOmars";"Anglicky.jazyk...Ss."
"Metal!!!";"Anglicky.jazyk...Ss."
"Mikas";"Anglicky.jazyk...Ss."
"nikol";"Anglicky.jazyk...Ss."
"Oligarcha";"Anglicky.jazyk...Ss."
"pmtw";"Anglicky.jazyk...Ss."
"Ptakulus";"Anglicky.jazyk...Ss."
"Quick";"Anglicky.jazyk...Ss."
"ROCK!!!";"Anglicky.jazyk...Ss."
"sajmonkoo";"Anglicky.jazyk...Ss."
"Sergei B";"Anglicky.jazyk...Ss."
"tenze";"Anglicky.jazyk...Ss."
"VH";"Anglicky.jazyk...Ss."
"Vorteo";"Anglicky.jazyk...Ss."
"whyupush";"Anglicky.jazyk...Ss."
"Wywiss";"Anglicky.jazyk...Ss."
"xyz";"Anglicky.jazyk...Ss."
"Antares";"Dalsi.cizi.jazyk..Ss."
"BIL0141";"Dalsi.cizi.jazyk..Ss."
"Dream";"Dalsi.cizi.jazyk..Ss."
"Gzpc";"Dalsi.cizi.jazyk..Ss."
"H4RC1N";"Dalsi.cizi.jazyk..Ss."
"Hadahada";"Dalsi.cizi.jazyk..Ss."
"IgoodFeel";"Dalsi.cizi.jazyk..Ss."
"JAY";"Dalsi.cizi.jazyk..Ss."
"JK";"Dalsi.cizi.jazyk..Ss."
"Joxi-kun";"Dalsi.cizi.jazyk..Ss."
"Matessek";"Dalsi.cizi.jazyk..Ss."
"Melon Usk";"Dalsi.cizi.jazyk..Ss."
"Mikas";"Dalsi.cizi.jazyk..Ss."
"Quick";"Dalsi.cizi.jazyk..Ss."
"TERM";"Dalsi.cizi.jazyk..Ss."
"Tundeer";"Dalsi.cizi.jazyk..Ss."
"whyupush";"Dalsi.cizi.jazyk..Ss."
"BIL0141";"Zaklady.spolecenskych.ved..Ss."
"DON0032";"Zaklady.spolecenskych.ved..Ss."
"Horst";"Zaklady.spolecenskych.ved..Ss."
"Oligarcha";"Zaklady.spolecenskych.ved..Ss."
"VH";"Zaklady.spolecenskych.ved..Ss."
"Wywiss";"Zaklady.spolecenskych.ved..Ss."
"Adam159";"Dejepis..Ss."
"DON0032";"Dejepis..Ss."
"Giuseppe";"Dejepis..Ss."
"Horst";"Dejepis..Ss."
"IKSDE159";"Dejepis..Ss."
"JakubP123";"Dejepis..Ss."
"Joxi-kun";"Dejepis..Ss."
"Kowal";"Dejepis..Ss."
"Oligarcha";"Dejepis..Ss."
"pmtw";"Dejepis..Ss."
"Ptakulus";"Dejepis..Ss."
"Quick";"Dejepis..Ss."
"ROCK!!!";"Dejepis..Ss."
"sajmonkoo";"Dejepis..Ss."
"Sergei B";"Dejepis..Ss."
"VH";"Dejepis..Ss."
"Vorteo";"Dejepis..Ss."
"XXX";"Dejepis..Ss."
"Adam159";"Matematika..Ss."
"Antares";"Matematika..Ss."
"BIL0141";"Matematika..Ss."
"cratas";"Matematika..Ss."
"Ctibi";"Matematika..Ss."
"DaviVida";"Matematika..Ss."
"DON0032";"Matematika..Ss."
"FIL0138";"Matematika..Ss."
"Giuseppe";"Matematika..Ss."
"Gzpc";"Matematika..Ss."
"H4RC1N";"Matematika..Ss."
"Hadahada";"Matematika..Ss."
"Horst";"Matematika..Ss."
"Hrnicek";"Matematika..Ss."
"IgoodFeel";"Matematika..Ss."
"IKSDE159";"Matematika..Ss."
"JAY";"Matematika..Ss."
"JK";"Matematika..Ss."
"Joxi-kun";"Matematika..Ss."
"kas0203";"Matematika..Ss."
"Kowal";"Matematika..Ss."
"MatejK";"Matematika..Ss."
"Matessek";"Matematika..Ss."
"Melon Usk";"Matematika..Ss."
"migmig";"Matematika..Ss."
"Mikas";"Matematika..Ss."
"Oligarcha";"Matematika..Ss."
"Quick";"Matematika..Ss."
"Rai";"Matematika..Ss."
"ROCK!!!";"Matematika..Ss."
"SlanyCukr";"Matematika..Ss."
"TERM";"Matematika..Ss."
"Tundeer";"Matematika..Ss."
"VH";"Matematika..Ss."
"whyupush";"Matematika..Ss."
"XXX";"Matematika..Ss."
"cratas";"Fyzika..Ss."
"Ctibi";"Fyzika..Ss."
"DON0032";"Fyzika..Ss."
"JAY";"Fyzika..Ss."
"Joxi-kun";"Fyzika..Ss."
"Kowal";"Fyzika..Ss."
"MatejK";"Fyzika..Ss."
"migmig";"Fyzika..Ss."
"Migy";"Fyzika..Ss."
"Mikas";"Fyzika..Ss."
"Oligarcha";"Fyzika..Ss."
"whyupush";"Fyzika..Ss."
"BIL0141";"Chemie..Ss."
"H4RC1N";"Chemie..Ss."
"IgoodFeel";"Chemie..Ss."
"IKSDE159";"Chemie..Ss."
"JAY";"Chemie..Ss."
"JK";"Chemie..Ss."
"Joxi-kun";"Chemie..Ss."
"Kowal";"Chemie..Ss."
"Metal!!!";"Chemie..Ss."
"Migy";"Chemie..Ss."
"Rai";"Chemie..Ss."
"Tundeer";"Chemie..Ss."
"von0074";"Chemie..Ss."
"Dream";"Biologie..Ss."
"FIL0138";"Biologie..Ss."
"IgoodFeel";"Biologie..Ss."
"JAY";"Biologie..Ss."
"Joxi-kun";"Biologie..Ss."
"Kowal";"Biologie..Ss."
"migmig";"Biologie..Ss."
"Migy";"Biologie..Ss."
"Oligarcha";"Biologie..Ss."
"Adam159";"Zemepis..Ss."
"cratas";"Zemepis..Ss."
"DON0032";"Zemepis..Ss."
"Giuseppe";"Zemepis..Ss."
"Hadahada";"Zemepis..Ss."
"Kowal";"Zemepis..Ss."
"Melon Usk";"Zemepis..Ss."
"Quick";"Zemepis..Ss."
"Wywiss";"Zemepis..Ss."
"xyz";"Zemepis..Ss."
":))";"Informatika.a.vypocetni.technika..Ss."
"Adam159";"Informatika.a.vypocetni.technika..Ss."
"Anonym";"Informatika.a.vypocetni.technika..Ss."
"Antares";"Informatika.a.vypocetni.technika..Ss."
"BIL0141";"Informatika.a.vypocetni.technika..Ss."
"BnQi";"Informatika.a.vypocetni.technika..Ss."
"Bosskiko9";"Informatika.a.vypocetni.technika..Ss."
"cratas";"Informatika.a.vypocetni.technika..Ss."
"Ctibi";"Informatika.a.vypocetni.technika..Ss."
"CxT";"Informatika.a.vypocetni.technika..Ss."
"DaviVida";"Informatika.a.vypocetni.technika..Ss."
"DON0032";"Informatika.a.vypocetni.technika..Ss."
"Dream";"Informatika.a.vypocetni.technika..Ss."
"Giuseppe";"Informatika.a.vypocetni.technika..Ss."
"Gzpc";"Informatika.a.vypocetni.technika..Ss."
"H4RC1N";"Informatika.a.vypocetni.technika..Ss."
"Hadahada";"Informatika.a.vypocetni.technika..Ss."
"Horst";"Informatika.a.vypocetni.technika..Ss."
"Hrnicek";"Informatika.a.vypocetni.technika..Ss."
"IgoodFeel";"Informatika.a.vypocetni.technika..Ss."
"IKSDE159";"Informatika.a.vypocetni.technika..Ss."
"JakubP123";"Informatika.a.vypocetni.technika..Ss."
"JAY";"Informatika.a.vypocetni.technika..Ss."
"JK";"Informatika.a.vypocetni.technika..Ss."
"Joxi-kun";"Informatika.a.vypocetni.technika..Ss."
"kas0203";"Informatika.a.vypocetni.technika..Ss."
"Kowal";"Informatika.a.vypocetni.technika..Ss."
"LordOmars";"Informatika.a.vypocetni.technika..Ss."
"MatejK";"Informatika.a.vypocetni.technika..Ss."
"Matessek";"Informatika.a.vypocetni.technika..Ss."
"Melon Usk";"Informatika.a.vypocetni.technika..Ss."
"Metal!!!";"Informatika.a.vypocetni.technika..Ss."
"migmig";"Informatika.a.vypocetni.technika..Ss."
"Migy";"Informatika.a.vypocetni.technika..Ss."
"nikol";"Informatika.a.vypocetni.technika..Ss."
"Oligarcha";"Informatika.a.vypocetni.technika..Ss."
"Pomelo_Lover";"Informatika.a.vypocetni.technika..Ss."
"Ptakulus";"Informatika.a.vypocetni.technika..Ss."
"Rai";"Informatika.a.vypocetni.technika..Ss."
"ROCK!!!";"Informatika.a.vypocetni.technika..Ss."
"Rudu";"Informatika.a.vypocetni.technika..Ss."
"sajmonkoo";"Informatika.a.vypocetni.technika..Ss."
"Sergei B";"Informatika.a.vypocetni.technika..Ss."
"SlanyCukr";"Informatika.a.vypocetni.technika..Ss."
"Tundeer";"Informatika.a.vypocetni.technika..Ss."
"Tut tur";"Informatika.a.vypocetni.technika..Ss."
"VH";"Informatika.a.vypocetni.technika..Ss."
"von0074";"Informatika.a.vypocetni.technika..Ss."
"Vorteo";"Informatika.a.vypocetni.technika..Ss."
"Wywiss";"Informatika.a.vypocetni.technika..Ss."
"XXX";"Informatika.a.vypocetni.technika..Ss."
"xyz";"Informatika.a.vypocetni.technika..Ss."
"cratas";"Hudebni.vychova...Ss."
"Horst";"Hudebni.vychova...Ss."
"MatejK";"Hudebni.vychova...Ss."
"Oligarcha";"Hudebni.vychova...Ss."
"pmtw";"Hudebni.vychova...Ss."
"ROCK!!!";"Hudebni.vychova...Ss."
"SlanyCukr";"Hudebni.vychova...Ss."
"whyupush";"Hudebni.vychova...Ss."
"DaviVida";"Vytvarna.vychova..Ss."
"Dream";"Vytvarna.vychova..Ss."
"FIL0138";"Vytvarna.vychova..Ss."
"Hrnicek";"Vytvarna.vychova..Ss."
"JAY";"Vytvarna.vychova..Ss."
"Migy";"Vytvarna.vychova..Ss."
"pmtw";"Vytvarna.vychova..Ss."
"sajmonkoo";"Vytvarna.vychova..Ss."
"XXX";"Vytvarna.vychova..Ss."
"Anonym";"Telesna.vychova..Ss."
"Antares";"Telesna.vychova..Ss."
"BIL0141";"Telesna.vychova..Ss."
"Bosskiko9";"Telesna.vychova..Ss."
"cratas";"Telesna.vychova..Ss."
"CxT";"Telesna.vychova..Ss."
"DON0032";"Telesna.vychova..Ss."
"Dream";"Telesna.vychova..Ss."
"Gzpc";"Telesna.vychova..Ss."
"H4RC1N";"Telesna.vychova..Ss."
"Hadahada";"Telesna.vychova..Ss."
"IKSDE159";"Telesna.vychova..Ss."
"JK";"Telesna.vychova..Ss."
"Joxi-kun";"Telesna.vychova..Ss."
"Kowal";"Telesna.vychova..Ss."
"LordOmars";"Telesna.vychova..Ss."
"Matessek";"Telesna.vychova..Ss."
"Melon Usk";"Telesna.vychova..Ss."
"Metal!!!";"Telesna.vychova..Ss."
"migmig";"Telesna.vychova..Ss."
"Migy";"Telesna.vychova..Ss."
"nikol";"Telesna.vychova..Ss."
"Oligarcha";"Telesna.vychova..Ss."
"Pomelo_Lover";"Telesna.vychova..Ss."
"prup";"Telesna.vychova..Ss."
"Rai";"Telesna.vychova..Ss."
"sajmonkoo";"Telesna.vychova..Ss."
"Sergei B";"Telesna.vychova..Ss."
"SlanyCukr";"Telesna.vychova..Ss."
"tenze";"Telesna.vychova..Ss."
"Tundeer";"Telesna.vychova..Ss."
"VH";"Telesna.vychova..Ss."
"von0074";"Telesna.vychova..Ss."
"whyupush";"Telesna.vychova..Ss."
"Wywiss";"Telesna.vychova..Ss."
"XXX";"Telesna.vychova..Ss."
